FAIXA_ALT,alt_min,alt_centro,n_total,n_debris,n_payload,n_rocket,n_unknown,n_perigoso,prop_debris,prop_perigoso,volume_km3,densidade_por_km3,incl_media,incl_std,mean_motion_m,bstar_medio,comp_densidade,comp_debris,comp_inclinacao,IRR,NIVEL_RISCO
200-300,200,250.0,144,5,97,7,27,47,0.034722222222222224,0.3263888888888889,55089051564.073875,2.6139495219392935e-09,67.68485277777778,23.11743209889726,16.02175742201389,0.0016375376266736111,0.01664579724938008,0.2999087416416859,0.34515011052893907,1.67,BAIXO
300-400,300,350.0,1460,21,1330,17,81,130,0.014383561643835616,0.08904109589041095,56765656731.44168,2.571977642938687e-08,61.88120034246576,21.147580079632647,15.709533487726027,-0.00042027812663219177,0.20007841739679166,0.020155828545963594,0.18380131416156653,1.43,BAIXO
400-500,400,450.0,7395,121,6863,59,338,532,0.01636240703177823,0.07194050033806626,58467394640.0382,1.264807512892996e-07,55.26993971602434,18.428096547855205,15.30164688342123,0.0006828172358762677,1.0,0.0,0.0,5.0,ELEVADO
500-600,500,550.0,4270,351,3554,78,262,716,0.08220140515222482,0.16768149882903982,60194265289.863434,7.09369900843205e-08,72.78238330210773,21.398723603198547,15.062048101016392,0.0005180977711871195,0.5590489926423082,0.11284631254487698,0.48686783461976174,4.11,ELEVADO
600-700,600,650.0,1879,1025,644,112,74,1235,0.545502927088877,0.6572645023948909,61946268680.91739,3.0332739001256875e-08,83.43948861096328,19.736745387102246,14.734230656945185,0.0009516705505236828,0.2366998209323352,0.6898993776668204,0.7831486911165955,4.82,ELEVADO
700-800,700,750.0,2838,2159,404,151,114,2434,0.7607470049330515,0.857646229739253,63723404813.200066,4.453622665517268e-08,87.62933005637774,14.971350446918121,14.407539812241014,0.0008000668954210712,0.34945851881513673,0.9260817800711162,0.8996315235609561,6.32,ALTO
800-900,800,850.0,3001,2547,239,116,90,2762,0.8487170943018993,0.9203598800399867,65525673686.71146,4.5798842364418146e-08,91.23954448517162,12.655002012171472,14.138871716711096,0.0007734439311656115,0.35948217686095746,1.0,1.0,6.8,ALTO
900-1000,900,950.0,1937,1236,403,213,73,1534,0.6381001548786783,0.7919463087248322,67353075301.45157,2.8758894695314003e-08,82.81560975735673,14.552498344180254,13.83270011876097,0.0008260084879834795,0.22420538020534558,0.8486437552142307,0.7658040786970093,5.2,ELEVADO
1000-1100,1000,1050.0,954,662,193,50,46,761,0.6939203354297694,0.7976939203354297,69205609657.4204,1.3785009693902895e-08,85.1653322851153,17.05370064066299,13.560150448888889,0.002001888407548218,0.10533064914304636,0.8554182487584692,0.8311293037818852,4.76,ELEVADO
1100-1200,1100,1150.0,977,386,519,36,33,458,0.39508700102354144,0.4687819856704197,71083276754.61795,1.3744442358399422e-08,82.53914585465712,16.910910407486842,13.263259846202661,-0.0007287429155946774,0.10500859303686985,0.4677421270973063,0.7581180364267662,3.44,MODERADO
1200-1300,1200,1250.0,850,378,349,9,111,501,0.4447058823529412,0.5894117647058823,72986076593.0442,1.164605688752706e-08,87.05552552941177,11.50721594852972,13.056657783258824,0.0005779066845635293,0.08834992305967415,0.6099239087980546,0.8836790400502629,4.04,ELEVADO
1300-1400,1300,1350.0,343,241,47,27,26,296,0.7026239067055393,0.8629737609329446,74914009172.69919,4.578582881731539e-09,83.69003819241982,16.958790992428742,12.769588339212827,0.007612029170880467,0.03224263549538743,0.9323611406340061,0.7901142828450719,4.54,ELEVADO
1400-1500,1400,1450.0,1013,351,565,49,44,448,0.3464955577492596,0.4422507403751234,76867074493.5829,1.3178594432972317e-08,80.00330434353405,14.31083577646012,12.529557750414611,0.0020083769086663376,0.1005164375307358,0.43647074653947693,0.6876184708241391,3.19,MODERADO
1500-1600,1500,1550.0,534,353,74,64,43,460,0.6610486891385767,0.8614232209737828,78845272555.69531,6.7727586282714555e-09,82.61206666666666,16.755170931302406,12.307649581348313,0.001496612936,0.04966176565090631,0.9305335775251734,0.7601453262031634,4.56,ELEVADO
1600-1700,1600,1650.0,210,160,27,9,14,183,0.7619047619047619,0.8714285714285714,80848603359.03645,2.5974474669329992e-09,81.83704952380953,18.952819527637583,12.084527411619046,0.0062411252020380965,0.016514790676893137,0.9423265076422389,0.7385988803127737,4.39,ELEVADO
1700-1800,1700,1750.0,98,75,11,4,8,87,0.7653061224489796,0.8877551020408163,82877066903.60631,1.1824742798147413e-09,73.07300204081632,22.680052977605804,11.858874522959182,0.019383866990540816,0.0052815965483689765,0.9615699749684814,0.4949473990345997,3.9,MODERADO
1800-1900,1800,1850.0,46,35,6,0,5,40,0.7608695652173914,0.8695652173913043,84930663189.40489,5.416182833450252e-10,79.40136521739132,25.490045164741105,11.631515290434782,0.026086099146478258,0.00019396670328735035,0.9401302423495697,0.6708838102682064,4.16,ELEVADO
1900-2000,1900,1950.0,45,33,5,3,3,40,0.7333333333333333,0.8888888888888888,87009392216.43219,5.17185545763432e-10,72.10620222222222,23.1571125614738,11.419173689777777,0.03767752145506667,0.0,0.9629063268661371,0.4680691548948875,3.82,MODERADO
